ccode,country,year,leadid,polity,start_date,start_month,start_year,end_month,end_year,gender,econ_style_first,econ_style_last,econ_style_alias,leader
339,Albania,2002,A2.9-4924,7,29,10,1999,2,2002,1,ilir,meta,NA,Meta
339,Albania,2002,A2.9-4927,7,22,2,2002,7,2002,1,pandeli,majko,NA,Majko
339,Albania,2002,A2.9-4930,7,31,7,2002,9,2005,1,fatos,nano,NA,Fatos Nano
339,Albania,2003,A2.9-4930,7,31,7,2002,9,2005,1,fatos,nano,NA,Fatos Nano
339,Albania,2004,A2.9-4930,7,31,7,2002,9,2005,1,fatos,nano,NA,Fatos Nano
339,Albania,2005,A2.9-4930,9,31,7,2002,9,2005,1,fatos,nano,NA,Fatos Nano
339,Albania,2005,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2006,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2007,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2008,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2009,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2010,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2011,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2012,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2013,A3.0-79,9,11,9,2005,9,2013,1,sali,berisha,NA,Berisha
339,Albania,2013,cb-339-1,9,15,9,2013,8,2021,1,edi,rama,NA,Rama
339,Albania,2014,cb-339-1,9,15,9,2013,8,2021,1,edi,rama,NA,Rama
339,Albania,2015,cb-339-1,9,15,9,2013,8,2021,1,edi,rama,NA,Rama
339,Albania,2016,cb-339-1,9,15,9,2013,8,2021,1,edi,rama,NA,Rama
339,Albania,2017,cb-339-1,9,15,9,2013,8,2021,1,edi,rama,NA,Rama
339,Albania,2018,cb-339-1,9,15,9,2013,8,2021,1,edi,rama,NA,Rama
160,Argentina,1992,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1993,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1994,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1995,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1996,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1997,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1998,A2.9-2635,7,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1999,A2.9-2635,8,8,7,1989,12,1999,1,carlos,menem,NA,Menem
160,Argentina,1999,A2.9-2638,8,10,12,1999,12,2001,1,fernando,de la rua,NA,de la Rua
160,Argentina,2000,A2.9-2638,8,10,12,1999,12,2001,1,fernando,de la rua,NA,de la Rua
160,Argentina,2001,A2.9-2638,8,10,12,1999,12,2001,1,fernando,de la rua,NA,de la Rua
160,Argentina,2001,A2.9-2644,8,23,12,2001,1,2002,1,adolfo,rodriguez saa,NA,Adolfo Rodriguez Saa
160,Argentina,2002,A2.9-2644,8,23,12,2001,1,2002,1,adolfo,rodriguez saa,NA,Adolfo Rodriguez Saa
160,Argentina,2002,A2.9-2647,8,2,1,2002,5,2003,1,eduardo,duhalde,NA,Eduardo Duhalde
160,Argentina,2003,A2.9-2647,8,2,1,2002,5,2003,1,eduardo,duhalde,NA,Eduardo Duhalde
160,Argentina,2003,A2.9-2650,8,25,5,2003,12,2007,1,nestor,kirchner,NA,Nestor Kirchner
160,Argentina,2004,A2.9-2650,8,25,5,2003,12,2007,1,nestor,kirchner,NA,Nestor Kirchner
160,Argentina,2005,A2.9-2650,8,25,5,2003,12,2007,1,nestor,kirchner,NA,Nestor Kirchner
160,Argentina,2006,A2.9-2650,8,25,5,2003,12,2007,1,nestor,kirchner,NA,Nestor Kirchner
160,Argentina,2007,A2.9-2650,8,25,5,2003,12,2007,1,nestor,kirchner,NA,Nestor Kirchner
160,Argentina,2007,A3.0-37,8,10,12,2007,12,2015,0,cristina,fernandez,cristina fernandez de kirchner,Fernandez de Kirchner
