leader,leadid,country,scode,ccode,econ_style_first,econ_style_last,econ_style_alias
Bush,A2.9-70,United States,USA,2,george h.w.,bush,
Clinton,A2.9-73,United States,USA,2,bill,clinton,
G.W. Bush,A2.9-76,United States,USA,2,george w.,bush,
Obama,A3.0-1,United States,USA,2,barack,obama,
Trump,cb-002-01,United States,USA,2,donald,trump,
Mulroney,A2.9-142,Canada,CAN,20,brian,mulroney,
Kim Campbell,A2.9-145,Canada,CAN,20,kim,campbell,
Chretien,A2.9-148,Canada,CAN,20,jean,chrtien,
Paul Martin,A2.9-151,Canada,CAN,20,paul,martin,
Harper,A3.0-2,Canada,CAN,20,stephen,harper,
Trudeau,cb-20-1,Canada,CAN,20,justin,trudeau,
Balaguer,A2.9-478,Dominican Republic,DOM,42,joaquin,balaguer,
Fernandez Reyna,A2.9-481,Dominican Republic,DOM,42,leonel,fernandez,
Hipolito Mejia,A2.9-484,Dominican Republic,DOM,42,hipolito,mejia,
Fernandez Reyna,A2.9-487,Dominican Republic,DOM,42,leonel,fernandez,
Danilo Medina,cb-42-1,Dominican Republic,DOM,42,danilo,medina,
Manley,A2.9-505,Jamaica,JAM,51,michael,manley,
Patterson,A2.9-508,Jamaica,JAM,51,percival,patterson,p.j. patterson
Simpson Miller,A3.0-8,Jamaica,JAM,51,portia,simpson-miller,
Golding,A3.0-9,Jamaica,JAM,51,bruce,golding,
Holness,A3.0-10,Jamaica,JAM,51,andrew,holness,
Simpson Miller,cb-51-1,Jamaica,JAM,51,portia,simpson-miller,
Holness,kb-51-2,Jamaica,JAM,51,andrew,holness,
Manning,A2.9-520,Trinidad and Tobago,TRI,52,patrick,manning,
Panday,A2.9-523,Trinidad and Tobago,TRI,52,basdeo,panday,
Manning,A2.9-526,Trinidad and Tobago,TRI,52,patrick,manning,
Persad-Bissessar,A3.0-11,Trinidad and Tobago,TRI,52,kamla,persad-bissessar,
Rowley,cb-52-1,Trinidad and Tobago,TRI,52,keith,rowley,
Zedillo,A2.9-613,Mexico,MEX,70,ernesto,zedillo,
Vicente Fox Quesada,A2.9-616,Mexico,MEX,70,vincente,fox,
Calderon,A3.0-14,Mexico,MEX,70,felipe,calderon,
Enrique Pena Nieto,cb-70-1,Mexico,MEX,70,enrique,pena,enrique pena nieto
Lopez Obrador,ctb-70-2,Mexico,MEX,70,andres manuel,lopez obrador,amlo
Leon Carpio,A2.9-730,Guatemala,GUA,90,ramiro,de leon,ramiro de leon carpio
Arzu Yrigoyen,A2.9-733,Guatemala,GUA,90,alvaro,arzu,
Alfonso Portillo Cabrera,A2.9-736,Guatemala,GUA,90,alfonso,protillo,
Berger Perdomo,A2.9-739,Guatemala,GUA,90,oscar,berger,
Colom,A3.0-16,Guatemala,GUA,90,alvaro,colom,
Molina,cb-90-1,Guatemala,GUA,90,otto,molina,otto perez molina
Maldanado,cb-90-2,Guatemala,GUA,90,alejandro,maldanado,
Morales,cb-90-3,Guatemala,GUA,90,jimmy,morales,
Cristiani,A2.9-970,El Salvador,SAL,92,alfredo,cristiani,
Calderon Sol,A2.9-973,El Salvador,SAL,92,armando,calderon,armando calderon sol
Flores,A2.9-976,El Salvador,SAL,92,francisco,flores,
Saca Gonzšlez,A2.9-979,El Salvador,SAL,92,antonio,saca,tony saca
Funes,A3.0-20,El Salvador,SAL,92,mauricio,funes,
Salvador Sanchez Ceren,cb-92-1,El Salvador,SAL,92,salvador,sanchez,salvador sanchez ceren
Violeta Chamorro,A2.9-1066,Nicaragua,NIC,93,cioleta,chamorro,
Aleman,A2.9-1069,Nicaragua,NIC,93,arnoldo,aleman,
Enrique Bolanos,A2.9-1072,Nicaragua,NIC,93,enrique,bolanos,
Daniel Ortega,A3.0-21,Nicaragua,NIC,93,daniel,ortega,
Calderon Fournier,A2.9-1174,Costa Rica,COS,94,rafael,calderon,
Figueres Olsen,A2.9-1177,Costa Rica,COS,94,jose,figueres,jose maria figueres
Rodriguez Echeverria,A2.9-1180,Costa Rica,COS,94,miguel anel,rodriguez,
Abel Pacheco,A2.9-1183,Costa Rica,COS,94,abel,pacheco,
Arias,A3.0-22,Costa Rica,COS,94,oscar,arias,
Miranda,A3.0-23,Costa Rica,COS,94,laura,chinchilla,
Luis Guillermo Solis,cb-94-1,Costa Rica,COS,94,luis guiellermo,solis,
Carlos Alvarado Quesada,KS-94-2,Costa Rica,COS,94,carlos,alvarado,
Endara,A2.9-1309,Panama,PAN,95,guillermo,endara,
Balladares,A2.9-1312,Panama,PAN,95,ernesto,perez,ernesto perez balladares
Mireya Moscoso,A2.9-1315,Panama,PAN,95,mirea,moscoso,
Martin Torrijos,A2.9-1318,Panama,PAN,95,martin,torrijos,
Martinelli,A3.0-24,Panama,PAN,95,ricardo,martinelli,
Juan Carlos Varela,cb-95-1,Panama,PAN,95,juan carlos,varela,
Andres Perez,A2.9-1555,Venezuela,VEN,101,carlos andres,perez,
Lepage Barreto,A2.9-1555-1,Venezuela,VEN,101,octavio,lepage,
Velasquez,A2.9-1558,Venezuela,VEN,101,ramon,velasquez,
Caldera Rodriguez,A2.9-1561,Venezuela,VEN,101,rafael,caldera,
Hugo Chavez,A2.9-1564,Venezuela,VEN,101,hugo,chavez,
Borja Cevallos,A2.9-1786,Ecuador,ECU,130,rodrigo,borja,
Duran Ballen,A2.9-1789,Ecuador,ECU,130,sixto,duran ballen,
Bucaram Ortiz,A2.9-1792,Ecuador,ECU,130,abdala,bucaram,
Alarcon Fabian,A2.9-1795,Ecuador,ECU,130,fabian,alarcon,
Mahuad,A2.9-1804,Ecuador,ECU,130,jamil,mahuad,
Alfredo Palacio,A3.0-28,Ecuador,ECU,130,alfredo,palacio,
Valentin Paniagua,A2.9-1942,Peru,PER,135,valentin,paniagua,
Alejandro Toledo,A2.9-1945,Peru,PER,135,alejandro,toledo,
Garcia Perez,A3.0-30,Peru,PER,135,alan,garcia,
Ollanta Humala,A3.0-31,Peru,PER,135,ollanta,humala,
Pedro Pablo Kuczynski,cb-135-01,Peru,PER,135,pedro pablo,kuczynski,
