"leader","leadid","country","scode","ccode"
"Meta","A2.9-4924","Albania","ALB",339
"Majko","A2.9-4927","Albania","ALB",339
"Fatos Nano","A2.9-4930","Albania","ALB",339
"Berisha","A3.0-79","Albania","ALB",339
"Rama","cb-339-1","Albania","ALB",339
"Menem","A2.9-2635","Argentina","ARG",160
"de la Rua","A2.9-2638","Argentina","ARG",160
"Adolfo Rodriguez Saa","A2.9-2644","Argentina","ARG",160
"Eduardo Duhalde","A2.9-2647","Argentina","ARG",160
"Nestor Kirchner","A2.9-2650","Argentina","ARG",160
"Fernandez de Kirchner","A3.0-37","Argentina","ARG",160
"Macri","cb.0-38","Argentina","ARG",160
"Keating","A2.9-8965","Australia","AUL",900
"Howard","A2.9-8968","Australia","AUL",900
"Rudd","A3.0-217","Australia","AUL",900
"Gillard","A3.0-218","Australia","AUL",900
"Rudd","cb-900-1","Australia","AUL",900
"Abbott","cb-900-2","Australia","AUL",900
"Turnbull","cb-900-3","Australia","AUL",900
"Morrison","ctb-900-1","Australia","AUL",900
"Vranitzky","A2.9-4507","Austria","AUS",305
"Klima","A2.9-4510","Austria","AUS",305
"Schussel","A2.9-4513","Austria","AUS",305
"Gusenbauer","A3.0-65","Austria","AUS",305
"Faymann","A3.0-66","Austria","AUS",305
"Mitterlehner","cb-305-1","Austria","AUS",305
"Kern","se-305-2","Austria","AUS",305
"Kurz","se-305-3","Austria","AUS",305
"Martens","A2.9-3202","Belgium","BEL",211
"Dehaene","A2.9-3205","Belgium","BEL",211
"Verhofstadt","A2.9-3208","Belgium","BEL",211
"Leterme","A3.0-45","Belgium","BEL",211
"van Rompuy","A3.0-46","Belgium","BEL",211
"Leterme","A3.0-47","Belgium","BEL",211
"Di Rupo","A3.0-48","Belgium","BEL",211
"Charles Michel","cb-211-1","Belgium","BEL",211
"Paz Zamora","A2.9-2206","Bolivia","BOL",145
"Gonzalo Sanchez de Lozada","A2.9-2209","Bolivia","BOL",145
"Banzer Suarez","A2.9-2212","Bolivia","BOL",145
"Jorge Quiroga Ramirez","A2.9-2215","Bolivia","BOL",145
"Gonzalo Sanchez de Lozada","A2.9-2218","Bolivia","BOL",145
"Carlos Mesa","A2.9-2221","Bolivia","BOL",145
"Eduardo Rodriguez","A3.0-33","Bolivia","BOL",145
"Evo Morales","A3.0-34","Bolivia","BOL",145
"Masire","A2.9-7030","Botswana","BOT",571
"Mogae","A2.9-7033","Botswana","BOT",571
"Ian Khama","A3.0-153","Botswana","BOT",571
"Mokgweetsi Masisi","ks-571-01","Botswana","BOT",571
"Mello","A2.9-2047","Brazil","BRA",140
"Franco, Itamar","A2.9-2050","Brazil","BRA",140
"Cardoso","A2.9-2053","Brazil","BRA",140
"Lula da Silva","A2.9-2056","Brazil","BRA",140
"Rousseff","A3.0-32","Brazil","BRA",140
"Temer","cb-140-1","Brazil","BRA",140
"Dimitrov","A2.9-5377","Bulgaria","BUL",355
"Berov","A2.9-5380","Bulgaria","BUL",355
"Indzhova","A2.9-5383","Bulgaria","BUL",355
"Videnov","A2.9-5386","Bulgaria","BUL",355
"Sofiyanski","A2.9-5389","Bulgaria","BUL",355
"Kostov","A2.9-5392","Bulgaria","BUL",355
"Saksgoburggotski","A2.9-5395","Bulgaria","BUL",355
"Stanishev","A3.0-97","Bulgaria","BUL",355
"Boyko Borisov","A3.0-98","Bulgaria","BUL",355
"Marin Raikov","cb-355-1","Bulgaria","BUL",355
"Plamen Oresharski","cb-355-2","Bulgaria","BUL",355
"Georgi Bliznashki","cb-355-3","Bulgaria","BUL",355
"Boiko Borisov","cb-355-4","Bulgaria","BUL",355
"Ognyan Gerdzhikov","se-355-5","Bulgaria","BUL",355
"Boiko Borisov","se-355-6","Bulgaria","BUL",355
"Mulroney","A2.9-142","Canada","CAN",20
"Kim Campbell","A2.9-145","Canada","CAN",20
"Chretien","A2.9-148","Canada","CAN",20
"Paul Martin","A2.9-151","Canada","CAN",20
"Harper","A3.0-2","Canada","CAN",20
"Trudeau","cb-20-1","Canada","CAN",20
"Veiga","A2.9-6241","Cape Verde","CAP",402
"do Rosario","A2.9-6244","Cape Verde","CAP",402
"Neves","A2.9-6247","Cape Verde","CAP",402
"Correia e Silva","nm-402-1","Cape Verde","CAP",402
"Aylwin","A2.9-2500","Chile","CHL",155
"Frei Ruiz-Tagle","A2.9-2503","Chile","CHL",155
"Ricardo Lagos Escobar","A2.9-2506","Chile","CHL",155
