date_issue,issue_starting_row,issue_ending_row
1992-01-04,0,57
1992-01-11,57,184
1992-02-15,184,242
1992-02-22,242,308
1992-02-29,308,369
1992-03-07,369,426
1992-03-14,426,499
1992-03-21,499,514
1992-03-28,514,575
1992-04-04,575,645
1992-04-11,645,709
1992-04-18,709,771
1992-04-25,771,840
1992-05-02,840,908
1992-05-09,908,967
1992-05-16,967,1033
1992-05-23,1033,1109
1992-05-30,1109,1179
1992-06-06,1179,1298
1992-06-20,1298,1434
1992-07-04,1434,1490
1992-07-11,1490,1562
1992-07-18,1562,1633
1992-07-25,1633,1713
1992-08-01,1713,1767
1992-08-08,1767,1824
1992-08-22,1824,1886
1992-08-29,1886,1950
1992-09-05,1950,2019
1992-09-12,2019,2086
1992-09-19,2086,2159
1992-09-26,2159,2223
1992-10-03,2223,2287
1992-10-10,2287,2436
1992-10-24,2436,2508
1992-10-31,2508,2567
1992-11-07,2567,2629
1992-11-14,2629,2695
1992-11-21,2695,2765
1992-11-28,2765,2901
1992-12-12,2901,2962
1992-12-19,2962,3094
1993-01-09,3094,3246
1993-01-23,3246,3332
1993-01-30,3332,3423
1993-02-06,3423,3606
1993-02-20,3606,3704
1993-02-27,3704,3804
1993-03-06,3804,3890
1993-03-13,3890,3990
1993-03-20,3990,4089
1993-03-27,4089,4189
1993-04-03,4189,4267
1993-04-10,4267,4357
1993-04-17,4357,4522
1993-04-24,4522,4604
1993-05-01,4604,4682
1993-05-15,4682,4760
1993-05-22,4760,4848
1993-05-29,4848,5012
1993-06-12,5012,5096
1993-06-19,5096,5182
1993-06-26,5182,5273
1993-07-03,5273,5360
1993-07-10,5360,5518
1993-07-24,5518,5688
1993-08-07,5688,5844
1993-08-21,5844,5924
1993-08-28,5924,6005
1993-09-04,6005,6083
1993-09-11,6083,6171
1993-09-18,6171,6252
1993-09-25,6252,6337
1993-10-02,6337,6403
1993-10-09,6403,6496
1993-10-16,6496,6660
1993-10-23,6660,6748
1993-10-30,6748,6825
1993-11-06,6825,6916
1993-11-13,6916,7000
1993-11-27,7000,7098
1993-12-04,7098,7276
1993-12-18,7276,7357
1993-12-25,7357,7446
1994-01-08,7446,7533
1994-01-15,7533,7620
1994-01-22,7620,7718
1994-01-29,7718,7903
1994-02-05,7903,8000
1994-02-19,8000,8086
1994-02-26,8086,8270
1994-03-12,8270,8363
1994-03-19,8363,8555
1994-04-02,8555,8641
1994-04-09,8641,8731
1994-04-16,8731,8825
1994-04-23,8825,8925
1994-04-30,8925,9024
1994-05-07,9024,9116
1994-05-21,9116,9207
1994-06-04,9207,9294
1994-06-11,9294,9380
1994-06-18,9380,9450
1994-06-25,9450,9543
1994-07-02,9543,9637
1994-07-09,9637,9729
1994-07-16,9729,9811
1994-07-23,9811,9903
1994-07-30,9903,9978
1994-08-06,9978,10076
1994-08-13,10076,10239
1994-08-27,10239,10319
1994-09-03,10319,10415
1994-09-10,10415,10493
1994-09-17,10493,10674
1994-10-01,10674,10768
1994-10-08,10768,10850
1994-10-15,10850,10939
1994-10-22,10939,11029
1994-10-29,11029,11122
1994-11-05,11122,11211
1994-11-12,11211,11391
1994-11-26,11391,11580
1994-12-10,11580,11675
1994-12-17,11675,11761
1994-12-24,11761,11841
1995-01-07,11841,11919
1995-01-14,11919,12018
1995-01-21,12018,12117
1995-01-28,12117,12210
1995-02-04,12210,12306
1995-02-11,12306,12391
1995-02-18,12391,12482
1995-02-25,12482,12578
1995-03-04,12578,12678
1995-03-11,12678,12769
1995-03-18,12769,12869
1995-03-25,12869,12956
1995-04-01,12956,13036
1995-04-08,13036,13134
1995-04-15,13134,13232
1995-04-22,13232,13418
1995-05-06,13418,13506
1995-05-13,13506,13594
1995-05-20,13594,13691
1995-05-27,13691,13779
1995-06-03,13779,13872
1995-06-10,13872,13960
1995-06-17,13960,14044
1995-06-24,14044,14131
1995-07-01,14131,14227
1995-07-08,14227,14320
1995-07-15,14320,14406
1995-07-22,14406,14580
1995-08-05,14580,14662
1995-08-12,14662,14755
1995-08-19,14755,14846
1995-09-02,14846,14946
1995-09-09,14946,15045
1995-09-16,15045,15145
1995-09-23,15145,15232
1995-09-30,15232,15328
1995-10-07,15328,15426
1995-10-14,15426,15428
1995-10-28,15428,15519
1995-11-04,15519,15604
1995-11-11,15604,15704
1995-11-18,15704,15799
1995-11-25,15799,15892
1995-12-02,15892,15977
1995-12-09,15977,16068
1995-12-16,16068,16163
1995-12-23,16163,16240
1996-01-06,16240,16320
1996-01-13,16320,16401
1996-01-20,16401,16486
1996-01-27,16486,16576
1996-02-03,16576,16663
1996-02-10,16663,16750
1996-02-17,16750,16849
1996-02-24,16849,16937
1996-03-02,16937,17019
1996-03-09,17019,17101
1996-03-16,17101,17194
1996-03-23,17194,17274
1996-03-30,17274,17347
1996-04-06,17347,17435
1996-04-13,17435,17511
1996-04-20,17511,17604
1996-04-27,17604,17691
1996-05-04,17691,17773
1996-05-11,17773,17858
1996-05-18,17858,17953
1996-05-25,17953,18046
1996-06-01,18046,18131
1996-06-08,18131,18223
1996-06-15,18223,18318
1996-06-22,18318,18484
1996-06-29,18484,18567
1996-07-06,18567,18653
1996-07-20,18653,18750
1996-07-27,18750,18826
1996-08-03,18826,18903
1996-08-10,18903,18983
1996-08-17,18983,19135
1996-08-31,19135,19201
1996-09-07,19201,19288
1996-09-14,19288,19388
1996-09-21,19388,19481
1996-09-28,19481,19656
1996-10-12,19656,19748
1996-10-19,19748,19843
1996-10-26,19843,19928
1996-11-02,19928,20001
1996-11-09,20001,20091
1996-11-16,20091,20190
1996-11-23,20190,20367
1996-12-07,20367,20463
1996-12-14,20463,20542
1996-12-21,20542,20629
1997-01-04,20629,20700
1997-01-11,20700,20771
1997-01-18,20771,20865
1997-01-25,20865,20945
1997-02-01,20945,21031
1997-02-08,21031,21085
1997-02-15,21085,21185
1997-02-22,21185,21264
1997-03-01,21264,21436
1997-03-15,21436,21536
1997-03-22,21536,21624
1997-03-29,21624,21713
1997-04-05,21713,21794
1997-04-12,21794,21889
1997-04-19,21889,21981
1997-04-26,21981,22144
1997-05-10,22144,22232
1997-05-17,22232,22410
1997-05-31,22410,22563
1997-06-14,22563,22651
1997-06-21,22651,22743
1997-06-28,22743,22835
1997-07-05,22835,22899
1997-07-12,22899,22982
1997-07-19,22982,23082
1997-07-26,23082,23174
1997-08-02,23174,23241
1997-08-09,23241,23314
1997-08-16,23314,23388
1997-08-23,23388,23465
1997-08-30,23465,23530
1997-09-06,23530,23619
1997-09-13,23619,23700
1997-09-20,23700,23790
1997-09-27,23790,23864
1997-10-04,23864,23939
1997-10-11,23939,24020
1997-10-18,24020,24114
1997-10-25,24114,24196
1997-11-08,24196,24282
1997-11-15,24282,24369
1997-11-22,24369,24449
1997-11-29,24449,24521
1997-12-06,24521,24601
1997-12-13,24601,24690
1998-01-03,24690,24743
1998-01-10,24743,24821
1998-01-17,24821,24896
1998-01-24,24896,24969
1998-01-31,24969,25040
1998-02-07,25040,25122
1998-02-14,25122,25215
1998-02-21,25215,25293
1998-02-28,25293,25368
1998-03-07,25368,25454
1998-03-14,25454,25548
1998-03-21,25548,25695
1998-03-28,25695,25770
1998-04-11,25770,25848
1998-04-18,25848,25933
1998-04-25,25933,26013
1998-05-02,26013,26084
1998-05-09,26084,26165
1998-05-16,26165,26252
1998-05-23,26252,26334
1998-05-30,26334,26402
1998-06-06,26402,26485
1998-06-13,26485,26659
1998-06-27,26659,26731
1998-07-04,26731,26892
1998-07-18,26892,27039
1998-08-01,27039,27117
1998-08-08,27117,27182
