date,link,text,resolved_text,ccode,country,leadid,pre_in_post_term,coreference_resolved_ind,main_cluster_identified,number_spans_replaced,keating
1992-02-22,https://www-proquest-com.proxy.uchicago.edu/abicomplete/docview/224132291/fulltext/966F49E0EC774A94PQ/19?accountid=14657,"Changing its leader has not so far done much for Australia's Labor government. Paul Keating, who replaced Bob Hawke as prime minister in December, is well regarded by only 28% of voters, according to a recent poll. The government is 13 percentage points behind the opposition.
Mr Keating, the country's treasurer (finance minister) during most of Mr Hawke's eight years of office, was the architect of the deregulation of the economy. He was an impressive minister. But most Australians blame him for the present severity of Australia's recession rather than giving him credit for the government's achievements. He once said he could ""throw the switch to vaudeville"" if ever he wanted to win popular appeal, but such bits of song and dance as he has tried since his elevation have fallen flat. At a dinner for George Bush, soon after Mr Keating took over, he tripped over his jokes.
Australians do not anyway want a comedian. They want someone to make Australia feel rich again. His first test as a do-something prime minister will come on February 26th when he will present an economic statement to Parliament. He hopes to stimulate the economy enough to improve his chances in the general election that must be held by mid-1993, but without upsetting the currency market.
The signs are that he will aim for tax incentives for business investments, more industry reforms and perhaps personal tax cuts, but costing no more than A$2 billion ($1.5 billion). For all that they once lauded him, the markets are now more generous than they have been since Labor's early days, fearing Mr Keating will try to spend his way out of trouble.
He will certainly be tempted. Australia's two-year recession is the worst since the second world war, with real GDP tumbling by an estimated 1.4% in 1991. By contrast, output fell only 0.2% in the 1982 recession. The unemployment rate rose to a post-war high of 10.6% in December. Its drop in January, to 10.3%, may signal that e recession has bottomed, but businessmen are gloomy.
The recession has helped to squeeze inflation, to just 1.5%6 in the fourth quarter of 1991, and so has allowed the government to cut short-term interest rates to 7.5%, down from 18.4% in October 1989. But Mr Keating has little room for a big budget stimulus. The federal budget deficit is expected to reach A$6 billion (1.5% of GDP) in the year to June 1992. This may seem modest compared with many other economies, but it would be the first deficit, in five years. Moreover, Mr Keating is constrained by Australia's current-account deficit which continues to loom large (3.7% of GDP last year) despite the deep recession.
What of Mr Hawke, winner of four elections in a row? Mr Keating used to be his closest political friend. But, in his first television interview after becoming prime minister, Mr Keating said that Mr Hawke's consensual leadership style was the ""antithesis of leadership"". Mr Hawke was not pleased. He will get his chance for retribution. On February 20th he resigned from Parliament to become a television talk-show host. Mr Hawke had held his suburban Melbourne seat with a 7% majority. Labor in its present state will be hard put to retain it.
John Hewson, the opposition leader, could never be described as a crowd-puller, but he is performing with confidence. For the first time in a decade, the opposition's stars are in the ascendant. Mr Keating will have to strut his stuff better to win the voters and so justify his party's choice of leader.","Changing Paul Keating's has not so far done much for Australia 's Labor government . Paul Keating , is well regarded by only 28 % of voters , according to a recent poll . The government is 13 percentage points behind the opposition . 
 Paul Keating's , was the architect of the deregulation of the economy . Paul Keating was an impressive minister . But most Australians blame Paul Keating for the present severity of Australia 's recession rather than giving Paul Keating credit for the government 's achievements . Paul Keating once said Paul Keating could "" throw the switch to vaudeville "" if ever Paul Keating wanted to win popular appeal , but such bits of song and dance as Paul Keating has tried since Paul Keating's elevation have fallen flat . At a dinner for George Bush , soon after Paul Keating took over , he tripped over Paul Keating's jokes . 
 Australians do not anyway want a comedian . They want someone to make Australia feel rich again . Paul Keating's first test as a do - something prime minister will come on February 26th when Paul Keating will present an economic statement to Parliament . Paul Keating hopes to stimulate the economy enough to improve Paul Keating's chances in the general election that must be held by mid-1993 , but without upsetting the currency market . 
 The signs are that Paul Keating will aim for tax incentives for business investments , more industry reforms and perhaps personal tax cuts , but costing no more than A$ 2 billion ( $ 1.5 billion ) . For all that they once lauded Paul Keating , the markets are now more generous than they have been since Labor 's early days , fearing Paul Keating will try to spend Paul Keating's way out of trouble . 
 Paul Keating will certainly be tempted . Australia 's two - year recession is the worst since the second world war , with real GDP tumbling by an estimated 1.4 % in 1991 . By contrast , output fell only 0.2 % in the 1982 recession . The unemployment rate rose to a post - war high of 10.6 % in December . Its drop in January , to 10.3 % , may signal that e recession has bottomed , but businessmen are gloomy . 
 The recession has helped to squeeze inflation , to just 1.5%6 in the fourth quarter of 1991 , and so has allowed the government to cut short - term interest rates to 7.5 % , down from 18.4 % in October 1989 . But Paul Keating has little room for a big budget stimulus . The federal budget deficit is expected to reach A$ 6 billion ( 1.5 % of GDP ) in the year to June 1992 . This may seem modest compared with many other economies , but it would be the first deficit , in five years . Moreover , Paul Keating is constrained by Australia 's current - account deficit which continues to loom large ( 3.7 % of GDP last year ) despite the deep recession . 
 What of Mr Hawke , winner of four elections in a row ? Paul Keating used to be his closest political friend . But , in Paul Keating's first television interview after becoming prime minister , Paul Keating said that Mr Hawke 's consensual leadership style was the "" antithesis of leadership "" . Mr Hawke was not pleased . He will get his chance for retribution . On February 20th he resigned from Parliament to become a television talk - show host . Mr Hawke had held his suburban Melbourne seat with a 7 % majority . Labor in its present state will be hard put to retain it . 
 John Hewson , the opposition leader , could never be described as a crowd - puller , but he is performing with confidence . For the first time in a decade , the opposition 's stars are in the ascendant . Paul Keating will have to strut Paul Keating's stuff better to win the voters and so justify Paul Keating's party 's choice of leader .",900,Australia,A29-8965,IN TERM,True,"Paul Keating , who replaced Bob Hawke as prime minister in December",30,True
1992-03-14,https://www-proquest-com.proxy.uchicago.edu/abicomplete/docview/224167253/fulltext/7B64439E285741B3PQ/15?accountid=14657,"Politics in Australia can have a certain muddled charm. Campaigning has started for the by-election in Wills, in suburban Melbourne, for the seat vacated by Bob Hawke, the former prime minister who has left Parliament to become a television star. On the first day of the campaign the Labor man who hopes to succeed Mr Hawke was filmed running away from a group of reporters. He said no one had told him that a press conference had been arranged.
The opposition Liberal (conservative) candidate fluffed his opening salvo too. He had told his party that the factory he owns, which makes lambswool dusters, was in the Wills constituency. He has now admitted that it is not, and has offered to stand down. However, everyone knows that the real battle for the seat is not between these two reluctant celebrities, but between Labor's new prime minister, Paul Keating, and the opposition leader, John Hewson.
Labor has been deeply unpopular for two years, because of the recession and the distraction of a leadership feud in which Mr Hawke was eventually defeated by Mr Keating. The economy is showing faint signs of recovery, and Mr Keating is finding his stride and lifting Labor's hopes. His economic statement on February 26th, with tax concessions for investors and more spending on public works, has been well received. Many Australians agree with his remarks--made during Queen Elizabeth's visit last month--about Australia's diminishing affection for its links with Britain.
As a result, Labor is doing better in the opinion polls. Back in December Labor was trailing the Liberal-National opposition by 18 points. A poll on March 9th put Labor 10.5 points behind the opposition. Mr Keating's standing has improved to 37% (up from 25%), compared with Mr Hewson's 46% (down from 62%). So does Labor have a chance of holding Wills on May 11th?
Wills, in a working-class area, would normally be a safe Labor seat. The opposition needs an 8% swing to take it. But this is not unheard of in a by-election defended by an unpopular government.
Mr Keating and Mr Hewson are treating it as a life-or-death struggle. In some ways the two rivals resemble each other. Both come from working-class families. Mr Hewson's father was a fitter and turner, Mr Keating's a boilermaker who set up his own small engineering business. The Keating family was Irish Catholic, the Hewsons were strict Baptists. Mr Keating left school at 14, taught himself economics and became treasurer (finance minister) in the Hawke government. Mr Hewson was an economics professor before entering politics.
It is their temperaments that are noticeably different. Mr Keating is a confident and fiery debater. Mr Hewson is dour and a bit shy, but through diligent effort has become a forceful extempore speaker. Mr Keating says Mr Hewson is a traitor to his class; Mr Hewson says Mr Keating is a con-man. One way or another their political battle is fiercer and more evenly matched than any that Australia has seen for years, and it will get fiercer with the approach of the general election, due by mid-1993.
One other personality could enliven the Wills by-election. A popular local footballer, Phil Cleary, may stand as a left-wing independent: If he were to win, which is possible, the result would humiliate both Mr Keating and Mr Hewson.","Politics in Australia can have a certain muddled charm . Campaigning has started for the by - election in Wills , in suburban Melbourne , for the seat vacated by Bob Hawke , the former prime minister who has left Parliament to become a television star . On the first day of the campaign the Labor man who hopes to succeed Mr Hawke was filmed running away from a group of reporters . He said no one had told him that a press conference had been arranged . 
 The opposition Liberal ( conservative ) candidate fluffed his opening salvo too . He had told his party that the factory he owns , which makes lambswool dusters , was in the Wills constituency . He has now admitted that it is not , and has offered to stand down . However , everyone knows that the real battle for the seat is not between these two reluctant celebrities , but between Paul Keating's , and the opposition leader , John Hewson . 
 Labor has been deeply unpopular for two years , because of the recession and the distraction of a leadership feud in which Mr Hawke was eventually defeated by Paul Keating . The economy is showing faint signs of recovery , and Paul Keating is finding Paul Keating's stride and lifting Labor 's hopes . Paul Keating's economic statement on February 26th , with tax concessions for investors and more spending on public works , has been well received . Many Australians agree with Paul Keating's remarks -- made during Queen Elizabeth 's visit last month -- about Australia 's diminishing affection for its links with Britain . 
 As a result , Labor is doing better in the opinion polls . Back in December Labor was trailing the Liberal - National opposition by 18 points . A poll on March 9th put Labor 10.5 points behind the opposition . Paul Keating's standing has improved to 37 % ( up from 25 % ) , compared with Mr Hewson 's 46 % ( down from 62 % ) . So does Labor have a chance of holding Wills on May 11th ? 
 Wills , in a working - class area , would normally be a safe Labor seat . The opposition needs an 8 % swing to take it . But this is not unheard of in a by - election defended by an unpopular government . 
 Paul Keating and Mr Hewson are treating it as a life - or - death struggle . In some ways the two rivals resemble each other . Both come from working - class families . Mr Hewson 's father was a fitter and turner , Paul Keating 's a boilermaker who set up Paul Keating's own small engineering business . Paul Keating was Irish Catholic , the Hewsons were strict Baptists . Paul Keating left school at 14 , taught Paul Keating economics and became treasurer ( finance minister ) in the Hawke government . Mr Hewson was an economics professor before entering politics . 
 It is their temperaments that are noticeably different . Paul Keating is a confident and fiery debater . Mr Hewson is dour and a bit shy , but through diligent effort has become a forceful extempore speaker . Paul Keating says Mr Hewson is a traitor to his class ; Mr Hewson says Paul Keating is a con - man . One way or another their political battle is fiercer and more evenly matched than any that Australia has seen for years , and it will get fiercer with the approach of the general election , due by mid-1993 . 
 One other personality could enliven the Wills by - election . A popular local footballer , Phil Cleary , may stand as a left - wing independent : If he were to win , which is possible , the result would humiliate both Paul Keating and Mr Hewson .",900,Australia,A29-8965,IN TERM,True,"Labor 's new prime minister , Paul Keating",17,True
1992-03-14,https://www-proquest-com.proxy.uchicago.edu/abicomplete/docview/224164747/fulltext/7B64439E285741B3PQ/48?accountid=14657,"On March 9th America's banking regulators agreed to a $1.3 billion deal with jailed junk-bondster Michael Milken and his former colleagues that will settle scores of lawsuits against them. Though Mr Milken admits to no responsibility for the thrifts mess, the Treasury will nonetheless get $500m of the total from the ""global settlement"" to help cover the costs of dealing with failed savings and loan associations. It will surely not be long before some smooth-talking lawyer argues that, if the government itself reckons junk bonds caused the thrifts debacle, then lawyers and other professional advisers are less to blame for it.
In recent months the director of the Office of Thrift Supervision (OTS), Timothy Ryan, has argued that lawyers and accountants must bear significant responsibility for the actions of their thrift clients. He is now putting his argument to the test of law. That is one reason why a dribble of civil professional-liability cases against law and accountancy firms is fast turning into a flood. Another is that there is a three-year statute of limitations on government suits in connection with insolvent thrifts; the first big batch of failures occurred in the first quarter of 1989.
The Resolution Trust Corporation (RTC), which has handled the liquidation of the 550 or so thrifts that have failed since the beginning of 1989, reckons it will have filed lawsuits involving around 200 professional-liability claims by the end of this year. Three-fifths of them are against outside professional advisers, and the bulk will be lodged by the end of March.
The agency recovered $109m from 91 out-of-court settlements last year, as well as passing 747 cases to the Justice Department for criminal prosecution. This year the regulators have taken on hundreds of lawyers and are seeking billions of dollars in damages. Their most appetising targets are the big law and accountancy firms, which often prefer to pay up without having to admit guilt, rather than risk having their clients evaporate from under them.
Lawyers were shocked last week when the Office of Thrift Supervision forced one of New York's better-known law firms into just such a choice. Kaye, Scholer, Fierman, Hays & Handler were lawyers to the Lincoln Savings & Loan, the biggest failed thrift to date and once run by Charles Keating, who was convicted of securities fraud last year. The OTS sought $250m in damages from the firm, alleging that its lawyers had repeatedly misled thrift examiners by overstating Lincoln's worth and obstructed regulators trying to shut the thrift down, thereby increasing the final cost to the taxpayer of doing so.
What startled other lawyers too was the way in which the OTS broke new legal ground. It sought to use against thrifts' professional advisers the powers granted it in the 1989 thrift bail-out act to freeze financial assets before a case goes to trial. The OTS applied to the court for an order to freeze the assets of Kaye, Scholer and those of its partners. This increased the pressure on Kaye, Scholer to settle rapidly, as its credit threatened to dry up and its clients to desert. Six days after the suit was filed, the firm agreed to pay $41m over five years and to abide by certain other restrictions.
Some lawyers also fret that the government is using this case (and 25 more that the government is likely to bring this year against other law firms) to redefine the traditional relationship between lawyers and their clients. They claim that the authorities are seeking to emphasise lawyers' duty to the public, when they represent clients before federal agencies such as banking regulators or the Securities and Exchange Commission, at the expense of their obligation to act as advocates.
The question of where the main obligation of lawyers (or accountants) lies is bound to get an airing in a suit that is due to be heard in federal court in Arizona from March 17th. Lincoln's bondholders have charged leading firms in both professions--including Arthur Andersen, Arthur Young (now Ernst & Young) and Touche Ross (now Deloitte & Touche), among the Big Six accountancy firms, as well as Jones, Day, Reavis & Pogue, America's second-largest law firm--with professional negligence and fraud in what promises to be a widely followed case.
The government will get another crack at Lincoln's accountants when its own case comes to trial, probably this autumn. Most of the big accountancy firms have already faced suits in connection with their auditing of thrifts. Coopers & Lybrand agreed out of court last year to pay the government $20m for its role in advising Silverado, a Denver thrift. Under a more recent provisional settlement, Arthur Andersen has agreed to fork out $40m-60m for work that it did at Lincoln.
But accountancy firms have come up against nothing as big as the two suits filed by the RTC at the beginning of March, against KPMG Peat Marwick and Deloitte & Touche in connection with the failures of Hill Financial and Otero Savings respectively. In total, the government is seeking $250m in damages.
Last year Laventhol & Horwath, one of the largest accountancy firms outside the Big Six, went bust, in part because of the cost of the thrift-malpractice suits it faced. Others could follow if they lose big cases. The accountants' trade press is full of articles about sheltering personal assets and the fine print of liability-insurance policies. Many accountants are beginning to lobby for the right to form limited-liability companies in place of their traditional partnerships. The threat of expensive lawsuits does concentrate the mind.","On March 9th America's banking regulators agreed to a $1.3 billion deal with jailed junk-bondster Michael Milken and his former colleagues that will settle scores of lawsuits against them. Though Mr Milken admits to no responsibility for the thrifts mess, the Treasury will nonetheless get $500m of the total from the ""global settlement"" to help cover the costs of dealing with failed savings and loan associations. It will surely not be long before some smooth-talking lawyer argues that, if the government itself reckons junk bonds caused the thrifts debacle, then lawyers and other professional advisers are less to blame for it.
In recent months the director of the Office of Thrift Supervision (OTS), Timothy Ryan, has argued that lawyers and accountants must bear significant responsibility for the actions of their thrift clients. He is now putting his argument to the test of law. That is one reason why a dribble of civil professional-liability cases against law and accountancy firms is fast turning into a flood. Another is that there is a three-year statute of limitations on government suits in connection with insolvent thrifts; the first big batch of failures occurred in the first quarter of 1989.
The Resolution Trust Corporation (RTC), which has handled the liquidation of the 550 or so thrifts that have failed since the beginning of 1989, reckons it will have filed lawsuits involving around 200 professional-liability claims by the end of this year. Three-fifths of them are against outside professional advisers, and the bulk will be lodged by the end of March.
The agency recovered $109m from 91 out-of-court settlements last year, as well as passing 747 cases to the Justice Department for criminal prosecution. This year the regulators have taken on hundreds of lawyers and are seeking billions of dollars in damages. Their most appetising targets are the big law and accountancy firms, which often prefer to pay up without having to admit guilt, rather than risk having their clients evaporate from under them.
Lawyers were shocked last week when the Office of Thrift Supervision forced one of New York's better-known law firms into just such a choice. Kaye, Scholer, Fierman, Hays & Handler were lawyers to the Lincoln Savings & Loan, the biggest failed thrift to date and once run by Charles Keating, who was convicted of securities fraud last year. The OTS sought $250m in damages from the firm, alleging that its lawyers had repeatedly misled thrift examiners by overstating Lincoln's worth and obstructed regulators trying to shut the thrift down, thereby increasing the final cost to the taxpayer of doing so.
What startled other lawyers too was the way in which the OTS broke new legal ground. It sought to use against thrifts' professional advisers the powers granted it in the 1989 thrift bail-out act to freeze financial assets before a case goes to trial. The OTS applied to the court for an order to freeze the assets of Kaye, Scholer and those of its partners. This increased the pressure on Kaye, Scholer to settle rapidly, as its credit threatened to dry up and its clients to desert. Six days after the suit was filed, the firm agreed to pay $41m over five years and to abide by certain other restrictions.
Some lawyers also fret that the government is using this case (and 25 more that the government is likely to bring this year against other law firms) to redefine the traditional relationship between lawyers and their clients. They claim that the authorities are seeking to emphasise lawyers' duty to the public, when they represent clients before federal agencies such as banking regulators or the Securities and Exchange Commission, at the expense of their obligation to act as advocates.
The question of where the main obligation of lawyers (or accountants) lies is bound to get an airing in a suit that is due to be heard in federal court in Arizona from March 17th. Lincoln's bondholders have charged leading firms in both professions--including Arthur Andersen, Arthur Young (now Ernst & Young) and Touche Ross (now Deloitte & Touche), among the Big Six accountancy firms, as well as Jones, Day, Reavis & Pogue, America's second-largest law firm--with professional negligence and fraud in what promises to be a widely followed case.
The government will get another crack at Lincoln's accountants when its own case comes to trial, probably this autumn. Most of the big accountancy firms have already faced suits in connection with their auditing of thrifts. Coopers & Lybrand agreed out of court last year to pay the government $20m for its role in advising Silverado, a Denver thrift. Under a more recent provisional settlement, Arthur Andersen has agreed to fork out $40m-60m for work that it did at Lincoln.
But accountancy firms have come up against nothing as big as the two suits filed by the RTC at the beginning of March, against KPMG Peat Marwick and Deloitte & Touche in connection with the failures of Hill Financial and Otero Savings respectively. In total, the government is seeking $250m in damages.
Last year Laventhol & Horwath, one of the largest accountancy firms outside the Big Six, went bust, in part because of the cost of the thrift-malpractice suits it faced. Others could follow if they lose big cases. The accountants' trade press is full of articles about sheltering personal assets and the fine print of liability-insurance policies. Many accountants are beginning to lobby for the right to form limited-liability companies in place of their traditional partnerships. The threat of expensive lawsuits does concentrate the mind.",900,Australia,A29-8965,,False,,0,True
