segment_id,luigi,tano,fabio,federico,rachel,utsav,khwaja,joshua
A0,,,,Neutral,Neutral,Negative,Neutral,Neutral
A0-P0,,,,Neutral,,,,Neutral
A0-P0-S0,,,,Neutral,,,,Neutral
A0-P1,,,,Positive,,,,Neutral
A0-P1-S0,,,,Neutral,,,,Neutral
A0-P1-S1,,,,Positive,,,,Neutral
A0-P1-S2,,,,Positive,,,,Neutral
A0-P1-S3,,,,Positive,,,,Neutral
A0-P1-S4,,,,Positive,,,,Neutral
A0-P1-S5,,,,Neutral,,,,Neutral
A0-P2,,,,Positive,,,,Neutral
A0-P2-S0,,,,Neutral,,,,Neutral
A0-P2-S1,,,,Positive,,,,Neutral
A0-P2-S2,,,,Positive,,,,Neutral
A0-P2-S3,,,,Positive,,,,Neutral
A0-P2-S4,,,,Neutral,,,,Neutral
A0-P3,,,,Neutral,,,,Neutral
A0-P3-S0,,,,Neutral,,,,Neutral
A0-P3-S1,,,,Neutral,,,,Neutral
A0-P3-S2,,,,Neutral,,,,Neutral
A0-P4,,,,Neutral,,,,Neutral
A0-P4-S0,,,,Neutral,,,,Neutral
A0-P4-S1,,,,Neutral,,,,Neutral
A0-P4-S2,,,,Neutral,,,,Neutral
A0-P4-S3,,,,Neutral,,,,Neutral
A0-P4-S4,,,,Neutral,,,,Neutral
A0-P4-S5,,,,Neutral,,,,Neutral
A0-P4-S6,,,,Neutral,,,,Neutral
A0-P4-S7,,,,Neutral,,,,Neutral
A0-P4-S8,,,,Neutral,,,,Neutral
A0-P5,,,,Neutral,,,,Negative
A0-P5-S0,,,,Neutral,,,,Neutral
A0-P5-S1,,,,Neutral,,,,Neutral
A0-P5-S2,,,,Neutral,,,,Neutral
A0-P5-S3,,,,Neutral,,,,Neutral
A0-P5-S4,,,,Neutral,,,,Neutral
A0-P5-S5,,,,Neutral,,,,Neutral
A0-P6,,,,Negative,,,,Negative
A0-P6-S0,,,,Negative,,,,Negative
A0-P6-S1,,,,Neutral,,,,Neutral
A0-P6-S2,,,,Negative,,,,Neutral
A0-P7,,,,Neutral,,,,Neutral
A0-P7-S0,,,,Neutral,,,,Neutral
A0-P7-S1,,,,Neutral,,,,Neutral
A0-P7-S2,,,,Neutral,,,,Neutral
A0-P7-S3,,,,Neutral,,,,Neutral
A0-P7-S4,,,,Neutral,,,,Neutral
A1,,,,Negative,Positive,Neutral,Positive,Positive
A1-P0,,,,Neutral,,,,Neutral
A1-P0-S0,,,,Neutral,,,,Neutral
A1-P1,,,,Negative,,,,Neutral
A1-P1-S0,,,,Negative,,,,Neutral
A1-P1-S1,,,,Very negative,,,,Neutral
A1-P2,,,,Negative,,,,Neutral
A1-P2-S0,,,,Neutral,,,,Neutral
A1-P2-S1,,,,Negative,,,,Neutral
A1-P2-S2,,,,Negative,,,,Neutral
A1-P2-S3,,,,Neutral,,,,Neutral
A1-P2-S4,,,,Neutral,,,,Neutral
A1-P2-S5,,,,Neutral,,,,Neutral
A1-P2-S6,,,,Neutral,,,,Neutral
A1-P2-S7,,,,Negative,,,,Neutral
A1-P3,,,,Negative,,,,Neutral
A1-P3-S0,,,,Neutral,,,,Neutral
A1-P3-S1,,,,Very negative,,,,Neutral
A1-P3-S2,,,,Negative,,,,Neutral
A1-P3-S3,,,,Neutral,,,,Neutral
A1-P4,,,,Neutral,,,,Neutral
A1-P4-S0,,,,Neutral,,,,Neutral
A1-P4-S1,,,,Neutral,,,,Neutral
A1-P4-S2,,,,Neutral,,,,Neutral
A1-P4-S3,,,,Neutral,,,,Neutral
A1-P5,,,,Very negative,,,,Neutral
A1-P5-S0,,,,Negative,,,,Neutral
A1-P5-S1,,,,Very negative,,,,Neutral
A1-P5-S2,,,,Very negative,,,,Neutral
A1-P5-S3,,,,Very negative,,,,Positive
A1-P6,,,,Very negative,,,,Positive
A1-P6-S0,,,,Very negative,,,,Positive
A1-P6-S1,,,,Neutral,,,,Neutral
A1-P6-S2,,,,Neutral,,,,Neutral
A1-P6-S3,,,,Neutral,,,,Neutral
A1-P6-S4,,,,Neutral,,,,Neutral
A1-P7,,,,Negative,,,,Positive
A1-P7-S0,,,,Negative,,,,Positive
A1-P7-S1,,,,Very negative,,,,Positive
A1-P8,,,,Neutral,,,,Neutral
A1-P8-S0,,,,Neutral,,,,Neutral
A1-P8-S1,,,,Neutral,,,,Neutral
A1-P8-S2,,,,Neutral,,,,Neutral
A1-P8-S3,,,,Neutral,,,,Neutral
A1-P8-S4,,,,Neutral,,,,Neutral
A1-P9,,,,Negative,,,,Neutral
A1-P9-S0,,,,Negative,,,,Neutral
A1-P9-S1,,,,Negative,,,,Neutral
A1-P9-S2,,,,Neutral,,,,Neutral
A1-P9-S3,,,,Negative,,,,Neutral
A1-P10,,,,Negative,,,,Neutral
A1-P10-S0,,,,Negative,,,,Neutral
A1-P10-S1,,,,Negative,,,,Neutral
A1-P10-S2,,,,Negative,,,,Neutral
A1-P10-S3,,,,Negative,,,,Neutral
A1-P10-S4,,,,Negative,,,,Neutral
A1-P10-S5,,,,Very negative,,,,Neutral
A1-P10-S6,,,,Very negative,,,,Neutral
A1-P10-S7,,,,Very negative,,,,Neutral
A2,,,,Very negative,Very negative,Very negative,Very negative,Very negative
A2-P0,,,,Neutral,,,,Neutral
A2-P0-S0,,,,Neutral,,,,Neutral
A2-P1,,,,Very negative,,,,Very negative
A2-P1-S0,,,,Very negative,,,,Very negative
A2-P2,,,,Very negative,,,,Very negative
A2-P2-S0,,,,Very negative,,,,Very negative
A2-P2-S1,,,,Very negative,,,,Very negative
A2-P2-S2,,,,Neutral,,,,Neutral
A2-P2-S3,,,,Positive,,,,Neutral
A2-P3,,,,Very negative,,,,Negative
A2-P3-S0,,,,Positive,,,,Neutral
A2-P3-S1,,,,Neutral,,,,Neutral
A2-P3-S2,,,,Neutral,,,,Neutral
A2-P3-S3,,,,Neutral,,,,Neutral
A2-P3-S4,,,,Very negative,,,,Very negative
A2-P4,,,,Very negative,,,,Very negative
A2-P4-S0,,,,Very negative,,,,Very negative
A2-P4-S1,,,,Very negative,,,,Neutral
A2-P4-S2,,,,Very negative,,,,Neutral
A2-P4-S3,,,,Neutral,,,,Neutral
A2-P4-S4,,,,Neutral,,,,Negative
A2-P5,,,,Negative,,,,Very negative
A2-P5-S0,,,,Very negative,,,,Very negative
A2-P5-S1,,,,Neutral,,,,Neutral
A2-P5-S2,,,,Neutral,,,,Neutral
A2-P5-S3,,,,Neutral,,,,Neutral
A2-P6,,,,Negative,,,,Negative
A2-P6-S0,,,,Neutral,,,,Neutral
A2-P6-S1,,,,Neutral,,,,Neutral
A2-P6-S2,,,,Neutral,,,,Neutral
A2-P6-S3,,,,Neutral,,,,Neutral
A2-P6-S4,,,,Neutral,,,,Neutral
A2-P6-S5,,,,Positive,,,,Neutral
A2-P6-S6,,,,Very negative,,,,Very negative
A2-P7,,,,Very negative,,,,Very negative
A2-P7-S0,,,,Very negative,,,,Neutral
A2-P7-S1,,,,Very negative,,,,Very negative
A2-P7-S2,,,,Neutral,,,,Neutral
A2-P7-S3,,,,Neutral,,,,Negative
A2-P7-S4,,,,Very negative,,,,Neutral
A2-P7-S5,,,,Very negative,,,,Very negative
A2-P7-S6,,,,Neutral,,,,Neutral
A2-P8,,,,Neutral,,,,Positive
A2-P8-S0,,,,Positive,,,,Positive
A2-P8-S1,,,,Positive,,,,Positive
A2-P8-S2,,,,Positive,,,,Positive
A2-P8-S3,,,,Very negative,,,,Negative
A2-P9,,,,Very negative,,,,Very negative
A2-P9-S0,,,,Very negative,,,,Very negative
A2-P9-S1,,,,Very negative,,,,Negative
A2-P9-S2,,,,Neutral,,,,Neutral
A2-P9-S3,,,,Very negative,,,,Negative
A2-P9-S4,,,,Neutral,,,,Neutral
A2-P10,,,,Negative,,,,Very negative
A2-P10-S0,,,,Negative,,,,Very negative
A2-P10-S1,,,,Negative,,,,Neutral
A2-P10-S2,,,,Negative,,,,Very negative
A3,,,,Very positive,Positive,Positive,Positive,Positive
A3-P0,,,,Very positive,,,,Positive
A3-P0-S0,,,,Very positive,,,,Positive
A3-P1,,,,Positive,,,,Neutral
A3-P1-S0,,,,Neutral,,,,Neutral
A3-P1-S1,,,,Positive,,,,Neutral
A3-P1-S2,,,,Positive,,,,Neutral
A3-P2,,,,Positive,,,,Neutral
A3-P2-S0,,,,Positive,,,,Neutral
A3-P2-S1,,,,Positive,,,,Neutral
A3-P2-S2,,,,Positive,,,,Neutral
A3-P2-S3,,,,Positive,,,,Neutral
A3-P2-S4,,,,Positive,,,,Neutral
A3-P3,,,,Very positive,,,,Positive
A3-P3-S0,,,,Very positive,,,,Neutral
A3-P3-S1,,,,Very positive,,,,Neutral
A3-P3-S2,,,,Neutral,,,,Positive
A3-P4,,,,Neutral,,,,Neutral
A3-P4-S0,,,,Neutral,,,,Neutral
A3-P5,,,,Very positive,,,,Positive
A3-P5-S0,,,,Neutral,,,,Neutral
A3-P5-S1,,,,Very positive,,,,Positive
A3-P5-S2,,,,Neutral,,,,Positive
A3-P5-S3,,,,Neutral,,,,Positive
A3-P6,,,,Very positive,,,,Positive
A3-P6-S0,,,,Very positive,,,,Neutral
A3-P6-S1,,,,Very positive,,,,Positive
A3-P6-S2,,,,Positive,,,,Positive
A3-P6-S3,,,,Positive,,,,Positive
A3-P7,,,,Neutral,,,,Neutral
A3-P7-S0,,,,Neutral,,,,Neutral
A3-P7-S1,,,,Neutral,,,,Neutral
A3-P7-S2,,,,Neutral,,,,Neutral
A3-P8,,,,Negative,,,,Neutral
A3-P8-S0,,,,Negative,,,,Neutral
